,10
616,1
114,10
417,10
3069,6
1625,3
4949,9
4185,8
2896,5
4670,9
2082,4
753,1
2546,5
3969,7
3373,6
4107,8
2444,4
4380,8
1066,2
3913,7
3498,6
2738,5
4000,8
1568,3
2427,4
3746,7
4638,9
1687,3
851,1
3546,7
895,1
4592,9
335,10
2839,5
3087,6
1348,2
1015,2
2816,5
1631,3
2489,4
3730,7
3251,6
4633,9
2070,4
4452,8
4881,9
1635,3
2479,4
2265,4
2959,5
4730,9
3059,6
2141,4
3118,6
4724,9
4045,8
3356,6
2744,5
3506,7
1679,3
4249,8
3147,6
2294,4
580,1
1470,2
4070,8
3343,6
4583,9
3672,7
559,1
2849,5
512,1
1081,2
1664,3
1012,2
1931,3
1150,2
2838,5
116,10
740,1
4805,9
3675,7
830,1
119,10
4778,9
4832,9
635,1
4465,8
4364,8
4142,8
991,1
876,1
4,10
3051,6
3124,6
2660,5
2491,4
3854,7
1715,3
1148,2
3261,6
574,1
3769,7
3736,7
4146,8
853,1
1982,3
2774,5
1166,2
971,1
2701,5
4495,8
3847,7
2368,4
4115,8
4131,8
2950,5
524,1
2455,4
1841,3
537,1
2806,5
4341,8
3175,6
784,1
4057,8
1409,2
2537,5
154,10
3009,6
1686,3
2901,5
4948,9
3863,7
2733,5
1895,3
569,1
1816,3
2065,4
127,10
3394,6
3327,6
4985,9
2975,5
980,1
2300,4
190,10
1139,2
699,1
4852,9
606,1
4276,8
301,10
3420,6
4819,9
1060,2
2565,5
4993,9
1069,2
2524,5
2205,4
1243,2
16,10
3120,6
4642,9
815,1
3067,6
4783,9
959,1
225,10
3354,6
2485,4
562,1
3436,6
1693,3
1045,2
3446,6
4565,9
954,1
4984,9
2735,5
4902,9
4735,9
4822,9
1218,2
1527,3
3987,7
1300,2
4890,9
160,10
4067,8
956,1
3791,7
3234,6
2869,5
3777,7
4433,8
2961,5
2200,4
98,10
2557,5
3183,6
253,10
3923,7
4199,8
1445,2
1648,3
4682,9
4723,9
3991,7
1696,3
3191,6
4499,9
1154,2
2255,4
1682,3
3170,6
2056,4
4090,8
3108,6
4548,9
3723,7
2049,4
3643,7
4926,9
623,1
262,10
3369,6
4061,8
1802,3
4736,9
4991,9
2385,4
1959,3
2976,5
488,10
1843,3
1734,3
2911,5
3219,6
146,10
1986,3
1369,2
2811,5
659,1
1794,3
2511,5
3397,6
4282,8
1147,2
3272,6
608,1
3582,7
1930,3
197,10
2931,5
2327,4
4389,8
766,1
4496,8
4218,8
3255,6
202,10
3510,7
1733,3
2777,5
1707,3
3474,6
854,1
4737,9
4097,8
2160,4
698,1
4946,9
2999,6
3696,7
1636,3
3457,6
3581,7
1291,2
4659,9
1853,3
3763,7
3304,6
4931,9
3743,7
3445,6
1998,3
663,1
4779,9
3748,7
4413,8
4744,9
709,1
1282,2
2675,5
4029,8
1306,2
2237,4
3302,6
2038,4
1529,3
1663,3
4933,9
4952,9
3627,7
2693,5
3060,6
1597,3
2729,5
2625,5
3157,6
3314,6
1722,3
1059,2
4636,9
3242,6
1678,3
1757,3
4191,8
563,1
2790,5
863,1
1484,2
206,10
4488,8
870,1
4493,8
502,1
1028,2
3840,7
2690,5
1570,3
2773,5
2731,5
804,1
3645,7
2454,4
4598,9
3104,6
4875,9
200,10
3099,6
2278,4
3561,7
4474,8
4514,9
391,10
1495,2
2695,5
2027,4
2568,5
64,10
3884,7
2062,4
492,10
379,10
4859,9
3993,7
4887,9
1076,2
878,1
337,10
1016,2
1275,2
3798,7
4551,9
3342,6
4911,9
995,1
1981,3
4297,8
161,10
4798,9
1500,3
3843,7
2613,5
3461,6
1021,2
3073,6
3943,7
1585,3
1955,3
3152,6
34,10
4014,8
775,1
2556,5
1478,2
1363,2
2612,5
2824,5
2041,4
241,10
2061,4
2363,4
600,1
2435,4
2888,5
646,1
3890,7
3556,7
3202,6
1528,3
1267,2
1899,3
4658,9
3005,6
2734,5
189,10
1806,3
975,1
2747,5
2047,4
2558,5
1082,2
474,10
2904,5
4843,9
4117,8
3385,6
4555,9
1184,2
2433,4
2391,4
769,1
1685,3
130,10
2919,5
3171,6
3444,6
4426,8
466,10
3092,6
3772,7
860,1
